Тип объекта;Тип заявки;Район;Площадь;Цена
Свободного назначения;Сдать в аренду;Тюменская слобода мкр.;54.4;108800
Торговое помещение;Сдать в аренду;Центр: Исторический;33.0;60000
Торговое помещение;Сдать в аренду;Калининский округ;28.7;43000
Торговое помещение;Сдать в аренду;Комарово Парк мкр.;29.8;40000
Офисное помещение;Сдать в аренду;5 мкр;63.8;75000
Торговое помещение;Сдать в аренду;Ново-Патрушево мкр.;63.9;95850
Свободного назначения;Сдать в аренду;1-й Заречный мкр;21.5;30000
Свободного назначения;Сдать в аренду;Московский тракт мкр.;17.3;20000
Офисное помещение;Сдать в аренду;Центр: Дом печати;17.0;30600
Свободного назначения;Сдать в аренду;Дом Обороны;54.0;60000
Свободного назначения;Сдать в аренду;Московский тракт мкр.;112.4;179840
Свободного назначения;Сдать в аренду;3-й Заречный мкр;86.0;130200
Офисное помещение;Сдать в аренду;Центр: КПД;7.0;6825
Торговое помещение;Сдать в аренду;Лесобаза мкр.;37.9;37900
Торговое помещение;Сдать в аренду;Лесобаза мкр.;50.4;50400
Свободного назначения;Сдать в аренду;Ватутина мкр.;9.1;10000
Офисное помещение;Сдать в аренду;Центр: КПД;43.7;57000
Офисное помещение;Сдать в аренду;Центр: Дом печати;61.6;90000
Свободного назначения;Сдать в аренду;Центр: КПД;275.0;233750
Свободного назначения;Сдать в аренду;Центр: Дом печати;30.4;26000
Свободного назначения;Сдать в аренду;Центр: Дом печати;12.1;10000
Свободного назначения;Сдать в аренду;Центр: КПД;196.5;117300
Свободного назначения;Сдать в аренду;Тюменская слобода мкр.;53.0;75000
Свободного назначения;Сдать в аренду;Центр: Дом печати;80.0;120000
Офисное помещение;Сдать в аренду;Княжева мкр.;95.5;100000
Офисное помещение;Сдать в аренду;null;9.4;4700
Свободного назначения;Сдать в аренду;Бабарынка;22.0;20000
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;138.4;346000
Офисное помещение;Сдать в аренду;1 мкр;60.0;55000
Торговое помещение;Сдать в аренду;3-й Заречный мкр;40.0;50000
Свободного назначения;Сдать в аренду;Плеханово;22.0;26000
Свободного назначения;Сдать в аренду;Центр: КПД;82.0;98400
Свободного назначения;Сдать в аренду;3-й Заречный мкр;132.2;185080
Офисное помещение;Сдать в аренду;Центр: КПД;7.2;7000
Торговое помещение;Сдать в аренду;Тюменская слобода мкр.;55.0;70000
Торговое помещение;Сдать в аренду;Тюменская слобода мкр.;71.6;90000
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;165.8;160000
Свободного назначения;Сдать в аренду;Тюменский 1-й мкр.;190.1;95000
Офисное помещение;Сдать в аренду;Центр: Студгородок;16.0;19200
Торговое помещение;Сдать в аренду;Южный;15.3;30600
Свободного назначения;Сдать в аренду;3-й Заречный мкр;56.0;45000
Свободного назначения;Сдать в аренду;Тюменский 3-й мкр.;55.0;80000
Свободного назначения;Сдать в аренду;Тюменский 3-й мкр.;9.3;15000
Свободного назначения;Сдать в аренду;Мыс мкр.;99.8;50000
Офисное помещение;Сдать в аренду;Центр: Драмтеатр;105.0;88995
Свободного назначения;Сдать в аренду;Комарово Парк мкр.;50.9;50000
Торговое помещение;Сдать в аренду;Плеханово;80.4;96480
Свободного назначения;Сдать в аренду;Центр: КПД;67.7;69000
Торговое помещение;Сдать в аренду;Югра мкр.;78.1;54670
Свободного назначения;Сдать в аренду;Европейский мкр.;60.4;93000
Свободного назначения;Сдать в аренду;Восточный 2 мкр.;145.0;145000
Торговое помещение;Сдать в аренду;Мыс мкр.;82.6;78470
Свободного назначения;Сдать в аренду;5-й Заречный мкр;65.0;117000
Свободного назначения;Сдать в аренду;Центр: Дом печати;31.0;50000
Свободного назначения;Сдать в аренду;Дударева д.;37.0;44400
Офисное помещение;Сдать в аренду;Червишевский тракт мкр.;33.6;11000
Свободного назначения;Сдать в аренду;микрорайон Тарманы;450.0;306000
Свободного назначения;Сдать в аренду;МЖК;20.0;30000
Свободного назначения;Сдать в аренду;Центр: КПД;56.2;78900
Свободного назначения;Сдать в аренду;Мыс мкр.;88.0;125000
Офисное помещение;Сдать в аренду;Центр: КПД;240.0;280000
Свободного назначения;Сдать в аренду;2 мкр;44.0;50000
Свободного назначения;Сдать в аренду;МЖК;48.0;45000
База/склад/производство;Сдать в аренду;Гилевская Роща;912.0;294000
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;66.5;110000
Свободного назначения;Сдать в аренду;Плеханово;52.8;63350
Свободного назначения;Сдать в аренду;3-й Заречный мкр;78.8;133960
Свободного назначения;Сдать в аренду;6 мкр;53.7;50000
База/склад/производство;Сдать в аренду;Бабарынка;43.0;23650
База/склад/производство;Сдать в аренду;Бабарынка;50.0;27500
Свободного назначения;Сдать в аренду;Плеханово;24.0;45000
Свободного назначения;Сдать в аренду;Ново-Патрушево мкр.;308.8;280000
Торговое помещение;Сдать в аренду;Тюменская слобода мкр.;136.3;170000
Торговое помещение;Сдать в аренду;5-й Заречный мкр;129.3;132880
Свободного назначения;Сдать в аренду;5-й Заречный мкр;96.5;135100
База/склад/производство;Сдать в аренду;Бабарынка;491.0;200000
База/склад/производство;Сдать в аренду;микрорайон Парфёново;320.0;220000
База/склад/производство;Сдать в аренду;Дударева д.;3.8;2500
База/склад/производство;Сдать в аренду;Дударева д.;3.8;2500
Свободного назначения;Сдать в аренду;микрорайон Метелёва;58.0;35000
Свободного назначения;Сдать в аренду;микрорайон Метелёва;58.0;35000
Свободного назначения;Сдать в аренду;Тюменская слобода мкр.;49.4;50000
Офисное помещение;Сдать в аренду;Центр: Исторический;94.3;85000
Торговое помещение;Сдать в аренду;МЖК;25.0;20000
База/склад/производство;Сдать в аренду;Тарманы мкр.;450.0;250000
Офисное помещение;Сдать в аренду;Московский тракт мкр.;15.0;15000
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;150.0;120000
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;155.0;105000
