deal_type,obj_type,district,area_range,count,min_price_sqm,median_price_sqm,max_price_sqm,min_price,median_price,max_price
аренда,Свободного назначения,Червишевский тракт мкр.,51-60,5,1000,1100,1370,59200,66550,72000
аренда,Торговое помещение,Европейский мкр.,91-100,5,1499,1500,1715,137000,147180,173000
аренда,Свободного назначения,Центр: КПД,111-120,5,1098,1333,1700,123500,152000,190740
аренда,Свободного назначения,null,41-50,5,800,1600,1600,35200,76960,79040
аренда,Торговое помещение,Плеханово,81-90,5,741,1307,1667,60000,108000,150000
аренда,Свободного назначения,Европейский мкр.,61-70,5,1275,1569,1598,90000,105000,110000
аренда,Офисное помещение,Гилевская Роща,21-30,5,473,800,950,14199,22895,24400
аренда,Свободного назначения,5-й Заречный мкр,121-130,5,641,1200,1545,80000,154440,193170
аренда,Свободного назначения,Плеханово,41-50,5,800,1463,2000,40500,60000,87200
аренда,Свободного назначения,5-й Заречный мкр,101-110,5,500,930,1250,53000,96000,130625
аренда,Офисное помещение,Центр: Драмтеатр,41-50,5,667,740,1490,30000,35000,62000
аренда,Свободного назначения,Дом Обороны,31-40,5,1500,1600,2054,56550,63040,76000
аренда,Свободного назначения,Центр: КПД,101-110,5,472,1294,1700,50000,135000,173400
аренда,Свободного назначения,Центр: Дом печати,61-70,5,957,1106,2460,60000,75000,155000
аренда,Свободного назначения,Червишевский тракт мкр.,101-110,5,746,1000,1350,80000,105000,148500
аренда,Офисное помещение,Центр: Исторический,41-50,5,650,1016,1180,26845,50000,59000
аренда,Торговое помещение,Тюменская слобода мкр.,71-80,5,1257,1438,2000,90000,108000,148400
аренда,Офисное помещение,Гилевская Роща,71-80,5,676,870,950,50000,69600,76665
аренда,Свободного назначения,Дом Обороны,21-30,5,1000,1481,2113,25000,34500,60000
аренда,Торговое помещение,Европейский мкр.,51-60,5,1153,1568,2007,58800,90000,109000
аренда,Торговое помещение,Центр: Исторический,21-30,5,595,1500,4583,15000,36000,110000
аренда,Торговое помещение,1-й Заречный мкр,41-50,5,1500,1786,2500,65250,75000,114750
аренда,Свободного назначения,Центр: Исторический,71-80,5,917,1000,2095,70000,78000,155000
аренда,Торговое помещение,Центр: КПД,61-70,5,800,1710,1800,50400,105000,115000
аренда,Свободного назначения,Плеханово,31-40,5,994,1469,1769,36000,50000,65000
аренда,Торговое помещение,Европейский мкр.,41-50,5,1147,1524,2041,50000,70000,100000
аренда,Свободного назначения,Европейский мкр.,41-50,5,1200,1354,1910,56400,65000,89000
аренда,Офисное помещение,Восточный р-н,31-40,5,1050,1200,1200,36330,41400,47760
аренда,Свободного назначения,Центр: КПД,51-60,5,1000,1404,1833,53100,78900,110000
аренда,Свободного назначения,Центр: Драмтеатр,111-120,5,404,857,1700,45000,100000,202470
аренда,Свободного назначения,Мыс мкр.,81-90,5,957,1481,2000,80000,130000,180800
аренда,Свободного назначения,2-й Заречный мкр,31-40,5,882,1190,1200,30000,39012,40440
аренда,Торговое помещение,Европейский мкр.,61-70,5,1304,1534,2000,88660,105000,138800
продажа,Офисное помещение,Центр: Драмтеатр,61-70,5,74627,153942,184638,5000000,9800000,12500000
продажа,Свободного назначения,Центр: КПД,101-110,5,163094,230098,274067,17500000,25320000,27900000
продажа,Офисное помещение,Электрон,11-20,5,109091,141304,156425,1800000,2150000,2800000
продажа,Свободного назначения,Дударева д.,41-50,5,160000,200000,214141,7856000,8600000,10290000
продажа,Свободного назначения,5-й Заречный мкр,41-50,5,234764,234798,319863,10209000,11264000,16031000
продажа,Свободного назначения,5-й Заречный мкр,81-90,5,110000,230255,240000,9634900,18950000,21192000
продажа,Свободного назначения,Червишевский тракт мкр.,61-70,5,109698,189689,205000,6900000,12900000,14370500
продажа,Свободного назначения,Центр: Дом печати,101-110,5,72238,212488,312262,7939000,22630000,32850000
продажа,Свободного назначения,Плеханово,131-140,5,148501,148502,181330,19906500,20025500,25240000
продажа,Свободного назначения,Лесобаза мкр.,41-50,5,129977,174234,207660,5680000,8250000,9660000
продажа,Торговое помещение,Дом Обороны,71-80,5,252000,336606,390000,19278000,24000000,29062500
продажа,Свободного назначения,микрорайон ДОК,61-70,5,176312,183556,195453,12390000,12470000,13324000
продажа,Свободного назначения,Лесобаза мкр.,71-80,5,146932,169145,182079,11594000,12400000,13754200
продажа,Свободного назначения,Лесобаза мкр.,31-40,5,167133,176728,200617,5650000,6400000,6570000
продажа,Свободного назначения,Червишевский тракт мкр.,51-60,5,210799,215000,251908,11059800,12018500,13200000
продажа,Свободного назначения,Червишевский тракт мкр.,81-90,5,176525,202000,230947,15400000,16818600,20000000
продажа,База/склад/производство,Лесобаза мкр.,1-10,5,68627,104895,151613,300000,342000,470000
