Тип объекта;Тип заявки;Район;Площадь;Цена
Торговое помещение;Сдать в аренду;Дом Обороны;1200.0;840000
Офисное помещение;Сдать в аренду;Центр: Исторический;29.0;46400
Свободного назначения;Сдать в аренду;2-й Заречный мкр;117.0;65000
База/склад/производство;Сдать в аренду;микрорайон Велижанский;24314.0;1500000
Офисное помещение;Сдать в аренду;Комарово Парк мкр.;94.2;105000
Офисное помещение;Сдать в аренду;Дом Обороны;942.9;660030
Торговое помещение;Сдать в аренду;Ватутина мкр.;155.0;186000
Офисное помещение;Сдать в аренду;Центр: Драмтеатр;200.0;190000
Офисное помещение;Сдать в аренду;Суходольский мкр.;130.0;130000
Свободного назначения;Сдать в аренду;Южный;110.0;150000
Торговое помещение;Сдать в аренду;Червишевский тракт мкр.;88.0;102000
База/склад/производство;Сдать в аренду;ДОК;377.0;264000
Офисное помещение;Сдать в аренду;ДОК;2500.0;1000000
Торговое помещение;Сдать в аренду;Лесобаза: Тура мкр;60.9;75000
Торговое помещение;Сдать в аренду;Исетское;192.4;100000
Свободного назначения;Сдать в аренду;микрорайон ДОК;94.2;75400
Свободного назначения;Сдать в аренду;Центр: Исторический;300.0;750000
Офисное помещение;Сдать в аренду;null;212.9;212900
Офисное помещение;Сдать в аренду;null;139.6;139000
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;48.0;90000
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;18.3;22000
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;6.5;7000
Торговое помещение;Сдать в аренду;Центр: Исторический;209.0;85000
Свободного назначения;Сдать в аренду;Богандинский пгт;280.0;180000
База/склад/производство;Сдать в аренду;район пос. Антипино;1400.0;336000
Свободного назначения;Сдать в аренду;район пос. Антипино;996.3;300000
Торговое помещение;Сдать в аренду;микрорайон Тюменский-1;160.0;64000
Торговое помещение;Сдать в аренду;Ново-Патрушево мкр.;142.0;250000
Торговое помещение;Сдать в аренду;Центр: КПД;60.0;200000
Торговое помещение;Сдать в аренду;Дом Обороны;108.0;95000
Торговое помещение;Сдать в аренду;Центр: Драмтеатр;105.1;280000
Свободного назначения;Сдать в аренду;Мыс мкр.;80.2;68425
Свободного назначения;Сдать в аренду;Матмасы мкр.;245.0;245000
Свободного назначения;Сдать в аренду;Матмасы мкр.;98.0;98000
Свободного назначения;Сдать в аренду;null;44.0;35200
Свободного назначения;Сдать в аренду;Боровский рп.;245.0;245000
Свободного назначения;Сдать в аренду;Центр: Исторический;191.8;182210
Торговое помещение;Сдать в аренду;1-й Заречный мкр;1200.0;900000
Свободного назначения;Сдать в аренду;Лесобаза: Тура мкр;96.0;96000
База/склад/производство;Сдать в аренду;Винзили рп.;11720.0;4688000
Офисное помещение;Сдать в аренду;Калининский округ;45.0;29000
Свободного назначения;Сдать в аренду;Калининский округ;45.0;45000
Свободного назначения;Сдать в аренду;У озера квартал;63.9;60000
Офисное помещение;Сдать в аренду;Московский тракт мкр.;547.0;400000
Торговое помещение;Сдать в аренду;Ново-Патрушево мкр.;117.0;128700
Офисное помещение;Сдать в аренду;Центр: КПД;17.9;17900
Офисное помещение;Сдать в аренду;Центр: КПД;38.0;38000
Торговое помещение;Сдать в аренду;Дом Обороны;1500.0;1050000
Свободного назначения;Сдать в аренду;Центр: Исторический;4806.0;9999000
Офисное помещение;Сдать в аренду;Дударева д.;110.0;100000
Офисное помещение;Сдать в аренду;Дом Обороны;156.7;240000
Офисное помещение;Сдать в аренду;Центр: Дом печати;51.0;63750
Торговое помещение;Сдать в аренду;Центр: КПД;199.2;250000
Офисное помещение;Сдать в аренду;Центр: Исторический;836.0;1086800
Свободного назначения;Сдать в аренду;Центр: Исторический;320.0;320000
Свободного назначения;Сдать в аренду;Центр: Исторический;320.0;320000
Свободного назначения;Сдать в аренду;Лесобаза мкр.;37.9;38000
Торговое помещение;Сдать в аренду;Ново-Патрушево мкр.;50.0;55000
Торговое помещение;Сдать в аренду;Центр: КПД;38.6;39000
Торговое помещение;Сдать в аренду;Центр: КПД;53.5;55000
Офисное помещение;Сдать в аренду;Центр: Исторический;1021.0;1225200
Офисное помещение;Сдать в аренду;Антипино мкр.;200.0;100000
Офисное помещение;Сдать в аренду;Антипино мкр.;200.0;160000
Свободного назначения;Сдать в аренду;Центр: КПД;132.0;135000
Свободного назначения;Сдать в аренду;Дударева д.;71.9;90000
Свободного назначения;Сдать в аренду;Дударева д.;61.0;61000
Свободного назначения;Сдать в аренду;микрорайон Березняковский;240.0;120000
Свободного назначения;Сдать в аренду;микрорайон Березняковский;710.0;355000
Свободного назначения;Сдать в аренду;микрорайон Березняковский;228.0;114000
Свободного назначения;Сдать в аренду;Центр: КПД;131.0;85150
Торговое помещение;Сдать в аренду;Дом Обороны;132.2;170000
Торговое помещение;Сдать в аренду;Дом Обороны;138.3;180000
Торговое помещение;Сдать в аренду;Дом Обороны;270.5;350000
Свободного назначения;Сдать в аренду;Лесобаза мкр.;120.0;40000
Торговое помещение;Сдать в аренду;Центр: Драмтеатр;54.3;70000
Торговое помещение;Сдать в аренду;Центр: Драмтеатр;88.4;123760
База/склад/производство;Сдать в аренду;Гилевская Роща;600.0;360000
