Тип объекта;Тип заявки;Площадь;Цена;Цена за кв.метр;Статус объекта;Район
База/склад/производство;Продажа;4;322000;80500;Активный;Дом Обороны
База/склад/производство;Продажа;4;325000;81250;Активный;Тюменский 1-й мкр.
База/склад/производство;Продажа;4;343000;85750;Активный;ДОК
База/склад/производство;Продажа;4;385000;96250;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;4;405000;101250;Активный;Зеленые Аллеи (Ирбитский тракт)
База/склад/производство;Продажа;4;450000;112500;Активный;Центр: Исторический
База/склад/производство;Продажа;4;490000;122500;Активный;Центр: КПД
База/склад/производство;Продажа;4;495000;123750;Активный;Мыс мкр.
База/склад/производство;Продажа;4;500000;125000;Активный;5-й Заречный мкр
База/склад/производство;Продажа;4;500000;125000;Активный;Зеленые Аллеи (Ирбитский тракт)
База/склад/производство;Продажа;4;550000;137500;Активный;микрорайон ДОК
База/склад/производство;Продажа;4;999000;249750;Активный;Центр: Дом печати
База/склад/производство;Продажа;4,06;775000;190886,7;Активный;Центр: Драмтеатр
База/склад/производство;Продажа;4,06;775000;190886,7;Активный;Центр: Драмтеатр
База/склад/производство;Продажа;4,1;243200;59317,07;Активный;МЖК
База/склад/производство;Продажа;4,1;317000;77317,07;Активный;Дом Обороны
База/склад/производство;Продажа;4,1;330000;80487,81;Активный;Тюменский 1-й мкр.
База/склад/производство;Продажа;4,1;335000;81707,32;Активный;Московский тракт мкр.
База/склад/производство;Продажа;4,1;350000;85365,86;Активный;Московский тракт мкр.
База/склад/производство;Продажа;4,1;370000;90243,9;Активный;Тарманы мкр.
База/склад/производство;Продажа;4,1;370000;90243,9;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;4,1;380000;92682,93;Активный;Тарманы мкр.
База/склад/производство;Продажа;4,1;400000;97560,98;Активный;МЖК
База/склад/производство;Продажа;4,1;400000;97560,98;Активный;Тюменский 3-й мкр.
База/склад/производство;Продажа;4,1;430000;104878,05;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;4,1;450000;109756,1;Активный;микрорайон ДОК
База/склад/производство;Продажа;4,1;990000;241463,42;Активный;Центр: Дом печати
База/склад/производство;Продажа;4,19;493000;117661,1;Активный;ДОК
База/склад/производство;Продажа;4,2;195000;46428,57;Активный;Центральный округ
База/склад/производство;Продажа;4,2;210000;50000;Активный;Центральный округ
База/склад/производство;Продажа;4,2;215000;51190,48;Активный;Центральный округ
База/склад/производство;Продажа;4,2;250000;59523,81;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;4,2;324000;77142,86;Активный;Дом Обороны
База/склад/производство;Продажа;4,2;336000;80000;Активный;Дом Обороны
База/склад/производство;Продажа;4,2;370000;88095,24;Активный;ДОК
База/склад/производство;Продажа;4,2;400000;95238,1;Активный;Плеханово
База/склад/производство;Продажа;4,2;410000;97619,05;Активный;микрорайон Тарманы
