Тип объекта;Тип заявки;Район;Площадь;Цена
Свободного назначения;Продажа;Дом Обороны;1207.3;170000000
Офисное помещение;Продажа;Дом Обороны;190.2;25000000
Готовый бизнес;Продажа;6-й микрорайон;400.0;10400000
Свободного назначения;Продажа;Тарманы мкр.;83.1;9000000
Готовый бизнес;Продажа;Долина Есаулова КП;400.6;21000000
Офисное помещение;Продажа;2 мкр;185.4;8500000
Торговое помещение;Продажа;Рощино мкр.;46.1;7800000
База/склад/производство;Продажа;Восточный 3 мкр.;2.7;360000
Свободного назначения;Продажа;Червишевский тракт мкр.;62.9;6900000
База/склад/производство;Продажа;Червишевский тракт мкр.;1000.0;51500000
Свободного назначения;Продажа;Южный;65.4;7900000
Коммерческий участок;Продажа;Яр с. (Тобольский тракт);25000.0;38000000
Свободного назначения;Продажа;микрорайон Войновка;3022.0;310000000
Готовый бизнес;Продажа;Цимлянское;122.3;25800000
Торговое помещение;Продажа;Рощино мкр.;52.4;8500000
Коммерческий участок;Продажа;Тюменский 1-й мкр.;1583.0;14990000
Офисное помещение;Продажа;Центр: Дом печати;704.9;50000000
Торговое помещение;Продажа;Нижняя Тавда с.;109.0;3900000
База/склад/производство;Продажа;Тарманы мкр.;3.3;315000
Свободного назначения;Продажа;Ожогина д.;946.0;58000000
Торговое помещение;Продажа;Борки с.;131.2;5680000
Свободного назначения;Продажа;Центр: Дом печати;98.0;8300000
База/склад/производство;Продажа;3-й Заречный мкр;2.5;345000
Свободного назначения;Продажа;Московский тракт мкр.;42.3;6500000
Свободного назначения;Продажа;Червишевский тракт мкр.;45.3;12900000
Офисное помещение;Продажа;Центр: Исторический;254.7;47000000
Свободного назначения;Продажа;Центр: Исторический;342.6;26000000
Свободного назначения;Продажа;3-й Заречный мкр;54.6;7500000
Торговое помещение;Продажа;Стрела;129.6;17500000
Свободного назначения;Продажа;Восточный р-н;367.7;41000000
Готовый бизнес;Продажа;Антипино мкр.;120.0;2000000
Готовый бизнес;Продажа;null;218.8;15000000
Торговое помещение;Продажа;Гилёва д.;311.7;23000000
Свободного назначения;Продажа;Ембаево с.;207.1;19700000
Свободного назначения;Продажа;Центр: Дом печати;16.4;2000000
Торговое помещение;Продажа;Центр: Исторический;31.1;2750000
Торговое помещение;Продажа;Дом Обороны;418.1;18000000
Торговое помещение;Продажа;Комарово мкр.;1290.0;250000000
Свободного назначения;Продажа;1-й Заречный мкр;46.8;3300000
Свободного назначения;Продажа;Центр: Драмтеатр;11621.6;2150000130
База/склад/производство;Продажа;Дом Обороны;5.0;355000
Свободного назначения;Продажа;Плеханово;69.2;9782000
Свободного назначения;Продажа;Плеханово;69.7;10529000
Свободного назначения;Продажа;жилой комплекс Ботаника;110.7;21044200
Торговое помещение;Продажа;Тюменская слобода мкр.;59.0;25000000
Свободного назначения;Продажа;Дом Обороны;130.0;19600000
Свободного назначения;Продажа;ДОК;127.3;23120000
Свободного назначения;Продажа;ДОК;83.9;11910000
Свободного назначения;Продажа;Центр: Дом печати;76.1;20300000
Свободного назначения;Продажа;Центр: Дом печати;78.6;21000000
Свободного назначения;Продажа;Центр: Дом печати;36.7;9760000
Свободного назначения;Продажа;Центр: Дом печати;84.0;17870000
Свободного назначения;Продажа;Центр: Дом печати;106.5;22630000
